places=9216   b=4   r=29   d=13   w=3   n=511   l=32   m=1024   z=3
[190] 2494764872 ns 0.04095820137073 Gnodes/s ( nodes: 102181082 )
[191] 2191004002 ns 0.046636647813845 Gnodes/s ( nodes: 102181082 )
[192] 1814002736 ns 0.056329067190558 Gnodes/s ( nodes: 102181082 )
[193] 1544134048 ns 0.066173712141344 Gnodes/s ( nodes: 102181082 )
[194] 1515720380 ns 0.067414203403401 Gnodes/s ( nodes: 102181082 )
[195] 1310304747 ns 0.077982684741048 Gnodes/s ( nodes: 102181082 )
[196] 1405346277 ns 0.072708828900253 Gnodes/s ( nodes: 102181082 )
[197] 1294192361 ns 0.078953550553371 Gnodes/s ( nodes: 102181082 )
[198] 1106131269 ns 0.092376994361959 Gnodes/s ( nodes: 102181082 )
[199] 1486777726 ns 0.06872653538798 Gnodes/s ( nodes: 102181082 )
[200] 2318199808 ns 0.044077771746584 Gnodes/s ( nodes: 102181082 )
[201] 1336636756 ns 0.076446410396334 Gnodes/s ( nodes: 102181082 )
[202] 1285383300 ns 0.079494639458907 Gnodes/s ( nodes: 102181082 )
[203] 1359536340 ns 0.075158772144333 Gnodes/s ( nodes: 102181082 )
[204] 1689325640 ns 0.060486314527257 Gnodes/s ( nodes: 102181082 )
[205] 1341777501 ns 0.076153521670953 Gnodes/s ( nodes: 102181082 )
[206] 1310169669 ns 0.077990724726509 Gnodes/s ( nodes: 102181082 )
[207] 1358187526 ns 0.075233412208499 Gnodes/s ( nodes: 102181082 )
[208] 1337591979 ns 0.07639181723891 Gnodes/s ( nodes: 102181082 )
[209] 1033862832 ns 0.098834273597332 Gnodes/s ( nodes: 102181082 )
[210] 928095656 ns 0.110097575976587 Gnodes/s ( nodes: 102181082 )
[211] 1062474079 ns 0.096172776371328 Gnodes/s ( nodes: 102181082 )
[212] 1582250780 ns 0.064579574421193 Gnodes/s ( nodes: 102181082 )
[213] 1304689575 ns 0.078318309548844 Gnodes/s ( nodes: 102181082 )
[214] 1206404930 ns 0.084698826620345 Gnodes/s ( nodes: 102181082 )
[215] 1275023081 ns 0.08014057433365 Gnodes/s ( nodes: 102181082 )
[216] 1414370086 ns 0.072244939999389 Gnodes/s ( nodes: 102181082 )
[217] 1162944946 ns 0.08786407503765 Gnodes/s ( nodes: 102181082 )
[218] 1366347057 ns 0.074784134438253 Gnodes/s ( nodes: 102181082 )
[219] 1368195148 ns 0.074683119691929 Gnodes/s ( nodes: 102181082 )
[220] 1414419356 ns 0.072242423413216 Gnodes/s ( nodes: 102181082 )
[221] 1337869834 ns 0.076375951832695 Gnodes/s ( nodes: 102181082 )
[222] 1296262699 ns 0.078827449157356 Gnodes/s ( nodes: 102181082 )
